symbol,order_quantity
ABBV,18
PFE,59
MRK,24
BMY,36
VZ,67
UPS,15
PM,26
AMGN,10
UNP,12
T,140
LMT,6
GILD,32
MDT,33
C,52
MO,60
DUK,26
ITW,11
MMM,22
SO,40
USB,58
TFC,56
F,217
D,43
KHC,67
FDX,14
KMB,11
PAYX,13
PRU,15
SPG,12
DOW,27
NEM,29
WBA,43
CMI,6
FAST,32
LYB,17
TROW,13
IFF,13
EIX,23
FE,37
HBAN,111
VICI,46
BBY,19
AMCR,132
CFG,38
CAG,41
KEY,90
OMC,18
IRM,30
IP,41
PEAK,58
IPG,43
SWK,18
VFC,53
VTRS,135
BEN,52
SNA,6
PKG,11
EMN,17
BXP,22
WHR,10
IVZ,82
AAP,10
PNW,20
HAS,24
OGN,50
LUMN,300
NWL,104
VNO,70
