symbol,order_quantity
ABBV,17
PFE,61
MRK,24
BMY,37
VZ,67
UPS,14
PM,26
AMGN,11
UNP,13
T,141
LMT,5
GILD,31
MDT,32
C,53
MO,57
DUK,27
ITW,11
MMM,23
SO,40
USB,55
TFC,55
F,212
D,45
KHC,68
FDX,12
KMB,12
PAYX,13
PRU,15
SPG,12
DOW,26
NEM,32
WBA,42
CMI,6
FAST,30
LYB,15
TROW,13
IFF,16
EIX,23
FE,39
HBAN,103
VICI,45
BBY,18
AMCR,138
CFG,36
CAG,43
KEY,80
OMC,17
IRM,29
IP,40
PEAK,58
IPG,42
SWK,18
VFC,59
VTRS,132
BEN,50
SNA,6
PKG,11
EMN,18
BXP,21
WHR,11
IVZ,83
AAP,10
PNW,21
HAS,27
OGN,54
LUMN,396
NWL,106
VNO,67
