,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState
0,55144-1000,Industrials,95000.0,"3M Company operates as a diversified technology company worldwide. It operates through four segments: Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment tapes, films, sound, and temperature management for transportation vehicles; premium large format graphic films for advertising and fleet signage; light management films and electronics assembly solutions; packaging and interconnection solutions; and reflective signage for highway, and vehicle safety. The Healthcare segment offers food safety indicator solutions; health care procedure coding and reimbursement software; skin, wound care, and infection prevention products and solutions; dentistry and orthodontia solutions; and filtration and purification systems. The Consumer segment provides consumer bandages, braces, supports and consumer respirators; cleaning products for the home; retail abrasives, paint accessories, car care DIY products, picture hanging, and consumer air quality solutions; and stationery products. It offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers. The company was founded in 1902 and is based in St. Paul, Minnesota.",Saint Paul,651 733 1110,MN,United States,[],https://www.3m.com,1,3M Center,Conglomerates,0.20048,0.18913999,0.44353,5673999872.0,-0.036,0.14645,6968999936.0,110.0,hold,16579000000.0,2674249984.0,125.0,129.04,1.763,1.561,0.06737,17.0,129.89,117.484,0.45931998,210.0,3588999936.0,16631000064.0,34761998336.0,6.493,USD,60.794,0.871,3.2,NYQ,3M Company,3M Company,America/New_York,EST,False,-18000000,EQUITY,MMM,finmb_289194,us_market,,2.422,,12.082,-0.27073836,,10.46,,552742976.0,,,,25.473,14314641.0,0.025899999,,1640908800.0,0.68072,6575000064.0,11.46,1.49,-0.12348354,5.065756,0.00121,1703980800.0,,1664496000.0,4.14,1664496000.0,552145953.0,1.019586,84200742912.0,2,,1064880000.0,2:1,,1668643200.0,,1.691,2.051837,1667174400.0,31.35,,12.336519,,0.025899999,15435327.0,0.0,,,128.0,128.88,136.56496,0.046484374,0.51919997,,129.82,,2661280.0,128.0,119.1416,5.95,128.88,,2661280.0,,,5.96,1668643200.0,,,128.52,USD,11.260035,881460.0,,,,71325949952.0,,,8109096.0,128.52,128.83,900.0,881460.0,181.78,,3.29,107.07,129.09,False,0.0463,800.0,129.82,,129.04,128.61,https://logo.clearbit.com/3m.com,2.3492,,,,,,,,,,,,,,,,,
1,53224-9508,Industrials,13700.0,"A. O. Smith Corporation manufactures and markets residential and commercial gas, heat pump and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; commercial boilers for hospitals, schools, hotels, and other large commercial buildings, as well as residential boilers for homes, apartments, and condominiums; and water treatment products comprising point-of-entry water softeners, well water solutions, and whole-home water filtration products, on-the-go filtration bottles, point-of-use carbon, and reverse osmosis products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pumps, electric wall-hung, gas tankless, combi-boiler, heat pump and solar water heaters. The company offers its products primarily under the A. O. Smith, State, Lochinvar, and water softener brands. It distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce, as well as other online retailers. A. O. Smith Corporation was founded in 1874 and is headquartered in Milwaukee, Wisconsin.",Milwaukee,414 359 4000,WI,United States,[],https://www.aosmith.com,1,11270 West Park Place,Specialty Industrial Machinery,0.18771,0.12991,0.35182,479000000.0,-0.044,0.16768,715800000.0,46.0,hold,1310900000.0,223700000.0,58.0,61.86,-0.134,1.742,0.12236,9.0,58.22,18.349,0.27188,67.0,417100000.0,320700000.0,3813299968.0,2.73,USD,24.383,1.089,2.7,NYQ,A.O. Smith Corporation,A. O. Smith Corporation,America/New_York,EST,False,-18000000,EQUITY,AOS,finmb_997111,us_market,,2.44,,12.998,-0.2403704,,3.21,,126870000.0,,,,11.44,6413854.0,0.042,,1640908800.0,1.00076,495400000.0,3.14,0.3,-0.12348354,5.407343,0.0074,1703980800.0,,1664496000.0,4.73,1664496000.0,124655664.0,1.224882,9303878656.0,2,,1475712000.0,2:1,,1666915200.0,,-0.166,2.4783583,1667174400.0,2.5,,19.271029,,0.0579,6479924.0,0.0,,,61.53,61.69,59.5849,0.018202504,0.35669997,,62.11,,1037660.0,61.53,53.3552,1.12,61.69,,1037660.0,,,1.2,1666915200.0,,,61.48,USD,19.700636,290790.0,,,,9450723328.0,,,1199696.0,61.48,63.0,800.0,290790.0,86.74,,1.64,46.58,60.25,False,0.0195,2200.0,62.11,,61.86,59.69,https://logo.clearbit.com/aosmith.com,1.8932,Suite 170 PO Box 245008,,,,,,,,,,,,,,,,
2,60064-6400,Healthcare,113000.0,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],https://www.abbott.com,1,100 Abbott Park Road,Medical Devices,0.30398,0.17518999,0.58163,10321999872.0,-0.047,0.22974001,13688000512.0,90.0,buy,25009000000.0,7563250176.0,115.5,106.96,-0.308,1.859,0.08821,22.0,116.38,46.204,0.22373,144.0,9907000320.0,16579999744.0,45029998592.0,5.682,USD,25.592,1.221,2.1,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EST,False,-18000000,EQUITY,ABT,finmb_247483,us_market,,4.258,,14.008,-0.15776932,,4.38,,1743570048.0,,,,20.461,14185094.0,0.0081,,1640908800.0,0.76175004,7856999936.0,4.43,0.47,-0.12348354,5.2275057,0.0073400005,1703980800.0,,1664496000.0,1.94,1664496000.0,1730427231.0,0.691331,191735693312.0,2,,1357084800.0,10000:4798,,1665619200.0,,-0.317,4.1415114,1667174400.0,2.45,,24.42009,,0.0083,16832410.0,0.0,,,106.02,106.67,110.1021,0.017732503,0.41990003,,107.349,,4777430.0,106.02,100.8402,1.88,106.67,,4777430.0,,,1.88,1665619200.0,,,106.505,USD,24.14447,2440511.0,,,,186492256256.0,,,5979171.0,106.505,107.0,1100.0,2440511.0,142.6,,1.54,93.25,106.51,False,0.0177,900.0,107.349,,106.96,106.65,https://logo.clearbit.com/abbott.com,17.8801,Abbott Park,,,,,,,,,,,,,,,,
3,60064-6400,Healthcare,50000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. AbbVie Inc. has a research collaboration with Dragonfly Therapeutics, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],https://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,0.5085,0.23188,0.69832003,22589999104.0,0.033,0.36514,29400999936.0,133.0,buy,38883000000.0,19950499840.0,160.0,159.62,0.242,0.928,0.09094,23.0,159.44,436.757,0.90650004,200.0,11880999936.0,69999001600.0,57819000832.0,6.718,USD,32.638,0.692,2.3,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EST,False,-18000000,EQUITY,ABBV,finmb_141885706,us_market,,5.881,,11.565,0.3680371,,11.55,,1768480000.0,,,,9.044,13798523.0,0.0078,,1640908800.0,0.70796996,13342999552.0,7.5,1.41,-0.12348354,17.649271,0.0011100001,1703980800.0,,1664496000.0,2.34,1664496000.0,1766623603.0,0.661588,340029112320.0,2,,,,,1665619200.0,,0.242,4.882214,1667174400.0,-28.72,,13.819913,,0.0078,13290962.0,0.0,,,159.39,159.59,148.56815,0.035384905,0.73730004,,160.75,,5856300.0,159.39,145.9678,5.64,159.59,,5856300.0,,,5.92,1673481600.0,,,159.2411,USD,21.282665,1649673.0,,,,282284752896.0,,,5557988.0,159.2411,160.25,800.0,1649673.0,175.91,,4.33,115.1,159.31,False,0.037100002,800.0,160.75,,159.62,159.12,https://logo.clearbit.com/abbvie.com,,,,,,,,,,,,,,,,,,
4,01923,Healthcare,2003.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the automated impella controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; Impella BTR, a percutaneous micro heart pump with integrated motors and sensors; and preCARDIA, a catheter-mounted superior vena cava therapy system designed to rapidly treat acutely decompensated heart failure. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the Germany, France, United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],https://www.abiomed.com,1,22 Cherry Hill Drive,Medical Devices,0.25527,0.24836001,0.81324995,250983008.0,0.072,0.22961001,274184000.0,300.0,hold,843595000.0,202012000.0,380.0,378.08,0.871,7.928,0.09554,5.0,368.0,0.455,0.18244,392.0,820371968.0,0.0,1074096000.0,18.194,USD,23.609,6.824,2.9,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EST,False,-18000000,EQUITY,ABMD,finmb_247589,us_market,,15.096,,59.136,0.1589055,,5.58,,45091200.0,,,,34.087,2082860.0,0.0462,,1648684800.0,0.97008,266764000.0,5.83,,-0.12348354,11.091618,0.02024,1711843200.0,,1664496000.0,6.49,1664496000.0,44183949.0,1.2782,16214175744.0,2,,970444800.0,2:1,,,,0.864,15.872026,1667174400.0,4.28,,67.75627,,0.059699997,1678025.0,0.0,,,377.78,377.36,284.246,0.0,0.0,,378.285,,1832460.0,377.78,295.8048,0.0,377.36,,1832460.0,,,,,,,377.01,USD,64.85077,257182.0,,,,17048080384.0,,,852722.0,377.01,377.98,800.0,257182.0,381.99,,,219.85,377.11,False,,800.0,378.285,,378.08,375.5,https://logo.clearbit.com/abiomed.com,,,978 777 8411,,,,,,,,,,,,,,,
5,D02 P820,Technology,721000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, industry X, song, and technology and operation services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprises turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services. It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services. In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation. Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services. The company was founded in 1951 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],https://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,0.16894,0.11165,0.31986,9541129216.0,0.149,0.15208,10405497856.0,268.0,buy,19701539000.0,7736192000.0,309.0,296.4,0.184,1.233,0.12946999,22.0,314.18,14.62,0.32625,375.0,7893806080.0,3325755904.0,61594304512.0,12.528,USD,97.342,1.123,2.1,NYQ,Accenture plc,Accenture plc,America/New_York,EST,False,-18000000,EQUITY,ACN,finmb_972190,us_market,,2.949,,17.457,-0.16705316,,12.6,,630080000.0,,,,35.024,4906350.0,0.0078,,1661904000.0,0.74323,6877169152.0,10.71,1.12,-0.12348354,8.462769,0.00133,1725062400.0,,1661904000.0,2.19,1664496000.0,629197848.0,1.214,181650391040.0,2,,,,,1665532800.0,,0.176,3.0344737,1667174400.0,2.32,,23.523808,,0.0078,5511054.0,0.0,,,294.53,294.3,295.67953,0.013682817,0.3623,,297.52,,1863650.0,294.53,271.3482,4.03,294.3,,1863650.0,,,4.48,1665532800.0,,,294.3,USD,27.67507,636402.0,,,,186906296320.0,,,2203700.0,294.3,297.27,800.0,636402.0,417.37,,1.41,242.95,295.72,False,0.0152,800.0,297.52,,296.4,294.1,https://logo.clearbit.com/accenture.com,3.0068,Grand Canal Harbour,353 1 646 2020,,,,,,,,,,,,,,,
6,90404,Communication Services,9800.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision, Blizzard, and King. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, Overwatch League, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. The company is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,[],https://www.activisionblizzard.com,1,2701 Olympic Boulevard Building B,Electronic Gaming & Multimedia,0.29523,0.22754,0.71129,,-0.139,0.28123,2172000000.0,78.0,buy,6486000000.0,,95.0,73.47,-0.329,5.755,0.05215,24.0,92.58,19.194,0.09363,100.0,10688000000.0,3609999872.0,7357000192.0,13.668,USD,9.432,4.981,2.1,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EST,False,-18000000,EQUITY,ATVI,finmb_4222231,us_market,,7.103,,24.061,0.26344442,,3.9,,782625024.0,,,,24.051,23707078.0,0.030299999,,1640908800.0,0.83088994,1674000000.0,2.13,0.47,-0.12348354,3.0547585,0.0086,1703980800.0,,1664496000.0,3.84,1664496000.0,715678580.0,0.488211,52260159488.0,2,,1220832000.0,2:1,,1649808000.0,,-0.319,7.8156123,1667174400.0,3.35,,18.83846,,0.0305,21923831.0,0.0,,,76.59,73.885,77.5886,0.0,0.2207,,74.27,,6160540.0,76.59,73.7846,0.0,73.885,,6160540.0,,,0.47,1649808000.0,,,73.05,USD,34.492958,9172675.0,,,,57499459584.0,,,6171565.0,73.05,73.49,900.0,9172675.0,86.9,,0.59,56.4,73.07,False,0.0062,800.0,74.27,,73.47,73.754,https://logo.clearbit.com/activisionblizzard.com,58.1681,,,,,,,,,,,,,,,,,
7,60601,Consumer Defensive,39218.0,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States, Switzerland, Cayman Islands, Brazil, Mexico, the United Kingdom, and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It procures, stores, cleans, and transports agricultural raw materials, such as oilseeds, corn, wheat, milo, oats, and barley. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, and dextrose; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal; distillers' grains; and citric acids. Additionally, the company provides natural flavors, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, and natural health and nutrition products, including probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also offers futures commission merchant; commodity brokerage services; cash margins and securities pledged to commodity exchange clearinghouses; and cash pledged as security under certain insurance arrangements. The company was founded in 1902 and is headquartered in Chicago, Illinois.",Chicago,312 634 8100,IL,United States,[],https://www.adm.com,1,77 West Wacker Drive,Farm Products,0.053460002,0.04157,0.07556,4089999872.0,0.214,0.04302,5277000192.0,84.0,buy,5987000000.0,1285874944.0,99.0,97.4,0.968,1.507,0.047989998,13.0,100.08,40.059,0.17785,117.0,1204000000.0,9742000128.0,98706997248.0,2.192,USD,174.78,0.355,2.3,NYQ,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,America/New_York,EST,False,-18000000,EQUITY,ADM,finmb_251704,us_market,,0.628,,11.754,0.502795,,6.66,,549334016.0,,,,43.71,6713271.0,0.012200001,,1640908800.0,0.81685996,4103000064.0,7.25,0.4,-0.12348354,2.2283232,0.00504,1703980800.0,,1664496000.0,2.44,1664496000.0,546268942.0,0.850562,62024564736.0,2,,999129600.0,105:100,,1668470400.0,,0.96,0.5420602,1667174400.0,1.44,,14.624625,,0.0137,8535285.0,0.0,,,96.78,97.27,85.63685,0.016222361,0.2166,,97.55,,2409650.0,96.78,89.6578,1.57,97.27,,2409650.0,,,1.6,1668470400.0,,,96.8512,USD,13.434483,747669.0,,,,53505134592.0,,,2735541.0,96.8512,97.56,1100.0,747669.0,98.88,,2.8,61.8,97.01,False,0.0165,900.0,97.55,,97.4,97.15,https://logo.clearbit.com/adm.com,17.1304,Suite 4600,,,,,,,,,,,,,,,,
8,95110-2704,Technology,25988.0,"Adobe Inc. operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],https://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.39137,0.27997,0.87761,7578999808.0,0.127,0.35449,6728000000.0,310.0,buy,13920000000.0,5941749760.0,354.5,334.3,-0.04,1.141,0.14403,30.0,370.77,32.29,0.33438998,475.0,5763999744.0,4640999936.0,17191000064.0,12.398,USD,36.4,1.007,2.2,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EST,False,-18000000,EQUITY,ADBE,finmb_24321,us_market,,9.015,,23.035,-0.4928561,,15.21,,464900000.0,,,,30.777,5317353.0,0.0114,,1638489600.0,0.83936995,4813000192.0,10.29,0.0065,-0.12348354,10.862007,0.0034599998,1701561600.0,,1662076800.0,1.34,1664496000.0,463519247.0,1.252811,154981122048.0,2,,1116892800.0,2:1,,1111622400.0,,-0.063,9.040548,1667174400.0,1.87,,21.97896,,0.0115,5054966.0,0.0,,,335.78,332.885,387.6882,0.0,0.0,,335.45,,3234380.0,335.78,304.1552,0.0,332.885,,3234380.0,,,,1111622400.0,,,332.01,USD,32.48785,1197767.0,,,,155416068096.0,,,4408696.0,332.01,334.3,800.0,1197767.0,694.89,,,274.73,333.61,False,,1000.0,335.45,,334.3,332.06,https://logo.clearbit.com/adobe.com,1.6368,,408 537 6000,,,,,,,,,,,,,,,
9,07068,Industrials,60000.0,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services, as well as integrated HCM solutions. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Roseland,973 974 5000,NJ,United States,[],https://www.adp.com,1,One ADP Boulevard,Staffing & Employment Services,0.26678,0.17933,0.45409,3695699968.0,0.1,0.23591,4503699968.0,213.0,hold,7447100000.0,6620100096.0,251.0,263.95,0.133,0.969,0.04681,17.0,250.47,139.499,0.76379997,280.0,1232099968.0,3594200064.0,16881600512.0,2.97,USD,40.474,0.107,3.0,NMS,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",America/New_York,EST,False,-18000000,EQUITY,ADP,finmb_126269,us_market,,6.592,,24.71,0.14354146,,9.02,,414828000.0,,,,6.205,5791182.0,0.0139999995,,1656547200.0,0.81639,3027399936.0,7.22,1.04,-0.12348354,42.538277,0.00113,1719705600.0,,1664496000.0,3.15,1664496000.0,414126710.0,0.82626,111287574528.0,2,,1412121600.0,1139:1000,,1662595200.0,,0.112,6.4859877,1667174400.0,2.16,,29.262749,,0.0139999995,5577889.0,0.0,,,262.58,263.6,226.76186,0.015842792,0.5762,,264.935,,1612490.0,262.58,237.9428,4.16,263.6,,1612490.0,,,5.0,1670457600.0,,,261.96,USD,36.558174,594686.0,,,,109493854208.0,,,1795512.0,261.96,264.66,4000.0,594686.0,264.935,,1.95,192.26,263.15,False,0.019,1200.0,264.935,,263.95,263.98,https://logo.clearbit.com/adp.com,2.9753,,,,,,,,,,,,,,,,,
