,Unnamed: 0,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState
294,294,71203,Communication Services,35000,"Lumen Technologies, Inc., a facilities-based technology and communications company, provides various integrated products and services under the Lumen, Quantum Fiber, and CenturyLink brands to business and residential customers in the United States and internationally. The company operates in two segments, Business and Mass Markets. It offers compute and application services, such as cloud services, IT solutions, unified communication and collaboration solutions, colocation and data center services, content delivery services, and managed security services; and IP and data services, including VPN data network, Ethernet, internet protocol (IP), and voice over internet protocol. The company also provides fiber infrastructure services comprising high bandwidth optical wavelength networks; and unlit optical fiber and related professional services. In addition, it offers voice and other services, including private line services, a direct circuit or channel specifically dedicated for connecting two or more organizational sites; a portfolio of traditional time division multiplexing voice services; and synchronous optical network-based Ethernet, legacy data hosting services, and conferencing services. As of December 31, 2021, the company served approximately 4.5 million broadband subscribers. The company was formerly known as CenturyLink, Inc. and changed its name to Lumen Technologies, Inc. in September 2020. Lumen Technologies, Inc. was incorporated in 1968 and is headquartered in Monroe, Louisiana.",Monroe,318 388 9000,LA,United States,[],https://www.lumen.com,1,100 CenturyLink Drive,Telecom Services,0.39001998,0.10488,0.56471,6108000256,-0.063,0.20907,7418999808,6,hold,11199000000,-4661125120,8,5.84,-0.262,2.039,0.042630002,11,8.41,233.415,0.16677,12,360000000,28521000960,19022000128,0.348,USD,18.601,0.327,3.5,NYQ,"Lumen Technologies, Inc.","Lumen Technologies, Inc.",America/New_York,EST,TRUE,-18000000,EQUITY,LUMN,finmb_260149,us_market,,1.86,,4.768,,,1.58,,1023889984,,,,10.846,165120032,0.1595,,1640908800,0.78836,1995000064,-0.709,,,0.5384474,0.00897,1703980800,,1656547200,7.68,1663200000,952791803,1.073323,35377315840,2,,922924800,3:02,,,,-0.32,0.31434745,1665705600,-0.2,,3.6962025,,0.1807,161490671,,,,5.88,5.88,9.9083,0.17006803,0.5155,,5.94,,21166930,5.88,6.9928,1,5.88,,21166930,,,1,1661731200,,,5.795,USD,,7973061,,,,5979517440,,,20575736,5.795,5.84,29200,7973061,13.93,,10.47,5.68,5.84,FALSE,0.1435,34100,5.94,,5.84,5.9,https://logo.clearbit.com/lumen.com,,,,,,,84587cd7-bce9-3659-8db8-3ad441216691,,,,,,,,,,,
25,25,23230,Consumer Defensive,6000,"Altria Group, Inc., through its subsidiaries, manufactures and sells smokeable and oral tobacco products in the United States. The company provides cigarettes primarily under the Marlboro brand; cigars and pipe tobacco principally under the Black & Mild brand; and moist smokeless tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands, as well as provides on! oral nicotine pouches. It sells its tobacco products primarily to wholesalers, including distributors; and large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia.",Richmond,804 274 2200,VA,United States,[],https://www.altria.com,1,6601 West Broad Street,Tobacco,0.60055,0.22705999,0.67657,8300000256,-0.022,0.59006,12426000384,37,hold,13940000000,8130999808,48,44.74,,0.496,0.20759001,15,48.73,,,68,2483000064,26290999296,20690999296,1.385,USD,11.405,0.313,2.7,NYQ,"Altria Group, Inc.","Altria Group, Inc.",America/New_York,EST,FALSE,-18000000,EQUITY,MO,finmb_53839346,us_market,,5.062,,8.429,0.029263854,,5.05,,1792169984,,,,-2.359,18138186,0.0101,,1640908800,0.59604,4686000128,2.57,0.94,-0.12348354,,0.00101,1703980800,,1664496000,1.9,1664496000,1790237072,0.689517,1.04743E+11,2,,860716800,3:01,,1663113600,,,3.8751967,1667174400,2.24,,8.8594055,,0.0101,18665407,0,,,45.02,45,47.7745,0.080852956,1.4163,,45.1489,,8582840,45.02,43.9626,3.64,45,,8582840,,,3.76,1663113600,,,44.645,USD,17.408562,2569515,,,,80181690368,,,9233726,44.645,44.84,1800,2569515,57.05,,6.76,40.35,44.78,FALSE,0.0833,1000,45.1489,,44.74,44.96,https://logo.clearbit.com/altria.com,,,,,,,,,,,,,,,,,,
146,146,73102-5015,Energy,1600,"Devon Energy Corporation, an independent energy company, primarily engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. It operates approximately 5,134 gross wells. Devon Energy Corporation was incorporated in 1971 and is headquartered in Oklahoma City, Oklahoma.",Oklahoma City,405 235 3611,OK,United States,[],https://www.devonenergy.com,1,333 West Sheridan Avenue,Oil & Gas E&P,0.51007,0.30122998,0.59652,7728999936,0.789,0.38368,8915000320,60,buy,7414000000,3744000000,80.5,68.35,6.771,1.551,0.19377,28,80.65,65.969,0.56383,109,3300000000,6745999872,17478000640,5.04,USD,26.482,1.38,2.2,NYQ,Devon Energy Corporation,Devon Energy Corporation,America/New_York,EST,TRUE,-18000000,EQUITY,DVN,finmb_266510,us_market,,3.073,,6.025,,,2.62,,677000000,,,,7.552,19317345,0.0295,,1640908800,0.80473,5207000064,-7.12,,,9.050582,0.00796,1703980800,,1656547200,1.58,1663200000,649974124,2.434045,53713489920,2,,1100563200,2:01,,,,6.547,2.6474967,1665705600,0.22,,26.087788,,0.0336,17345964,,,,67.8,68.45,63.9695,0.00619469,0.45630002,,69.1,,9929720,67.8,69.1496,0.42,68.45,,9929720,,,6.2,1662681600,,,67.96,USD,,3447313,,,,46272950272,,,11327801,67.96,68.44,800,3447313,79.4,,2.45,35.55,68.25,FALSE,0.081,3200,69.1,,68.35,68.3,https://logo.clearbit.com/devonenergy.com,,,,,,,d14cc3ae-fc64-3a70-b4ac-a4ab70fd9067,,,,,,,,,,,
148,148,79701,Energy,870,"Diamondback Energy, Inc., an independent oil and natural gas company, focuses on the acquisition, development, exploration, and exploitation of unconventional and onshore oil and natural gas reserves in the Permian Basin in West Texas. It focuses on the development of the Spraberry and Wolfcamp formations of the Midland basin; and the Wolfcamp and Bone Spring formations of the Delaware basin, which are part of the Permian Basin in West Texas and New Mexico. As of December 31, 2021, the company's total acreage position was approximately 524,700 gross acres in the Permian Basin; and estimated proved oil and natural gas reserves were 1,788,991 thousand barrels of crude oil equivalent. It also held working interests in 5,289 gross producing wells, as well as royalty interests in 6,455 additional wells. In addition, the company owns mineral interests approximately 930,871 gross acres and 27,027 net royalty acres in the Permian Basin and Eagle Ford Shale; and owns, operates, develops, and acquires midstream infrastructure assets, including 866 miles of crude oil gathering pipelines, natural gas gathering pipelines, and an integrated water system in the Midland and Delaware Basins of the Permian Basin. Diamondback Energy, Inc. was founded in 2007 and is headquartered in Midland, Texas.",Midland,432 221 7400,TX,United States,[],https://www.diamondbackenergy.com,1,500 West Texas Avenue,Oil & Gas E&P,0.76114,0.44509,0.89098,5325000192,0.565,0.61022997,6576999936,143,buy,5577000000,1283500032,172.5,149.32,3.665,0.732,0.14397,30,174.8,38.881,0.30358,230,43000000,5594999808,8641000448,0.248,USD,48.312,0.659,2,NMS,"Diamondback Energy, Inc.","Diamondback Energy, Inc.",America/New_York,EST,FALSE,-18000000,EQUITY,FANG,finmb_170245760,us_market,,3.845,,5.051,,,10.25,,181175008,,,,58.972,8316237,0.0468,,1640908800,0.97653,3833999872,-25.244,,,2.5320492,0.00469,1703980800,,1656547200,3.24,1663200000,172554777,1.997789,33223186432,2,,,,,,,3.553,3.130778,1665705600,0.3,,14.567805,,0.053200003,7790638,,,,149.99,151.3,135.2401,0.010334021,0.21360001,,151.88,,2893200,149.99,144.6906,1.55,151.3,,2893200,,,12.2,1660521600,,,149.08,USD,,789635,,,,27053053952,,,2467255,149.08,149.7,900,789635,168.95,,,95.02,149.33,FALSE,0.0796,1000,151.88,,149.32,151.53,https://logo.clearbit.com/diamondbackenergy.com,,Suite 1200,,,,,7f448654-4da6-3c99-be09-c9bfe680da59,,,,,,,,,,,
375,375,75039,Energy,1932,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. As of December 31, 2021, the company had proved undeveloped reserves and proved developed non-producing reserves of 130 million barrels of oil, 92 million barrels of NGLs, and 462 billion cubic feet of gas; and owned interests in 11 gas processing plants. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",Irving,972 444 9001,TX,United States,[],https://www.pxd.com,1,777 Hidden Ridge,Oil & Gas E&P,0.49168,0.26121,0.54897,10021000192,0.641,0.38062,11648000000,219,buy,9392000000,2861874944,281,254.14,5.055,1.331,0.15213999,32,282.22,25.38,0.26656,380,3252000000,6038000128,23690000384,13.626,USD,97.49,1.188,2.3,NYQ,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,America/New_York,EST,TRUE,-18000000,EQUITY,PXD,finmb_295224,us_market,,2.792,,5.679,,,13.85,,244134000,,,,70.338,6650291,0.0279,,1640908800,0.9375,6173000192,-1.212,,,3.6131253,0.00641,1703980800,,1656547200,2.45,1663200000,237115619,1.479734,66149691392,2,,,,,,,5.239,2.6190042,1665705600,0.38,,18.349459,,0.0313,5135314,,,,254.37,255.4,242.4841,0.008648819,0.5051,,258.06,,2131390,254.37,245.8176,2.2,255.4,,2131390,,,20.35,1662076800,,,253.28,USD,,1051333,,,,62044213248,,,2400922,253.28,254.25,800,1051333,288.46,,1.39,166.97,254.14,FALSE,0.0767,1000,258.06,,254.14,255,https://logo.clearbit.com/pxd.com,,,,,,,45d9eec3-b269-3316-bcbd-b145de6455e5,,,,,,,,,,,
470,470,10036,Communication Services,119500,"Verizon Communications Inc., through its subsidiaries, offers communications, technology, information, and entertainment products and services to consumers, businesses, and governmental entities worldwide. Its Consumer segment provides postpaid and prepaid service plans; internet access on notebook computers and tablets; wireless equipment, including smartphones and other handsets; and wireless-enabled internet devices, such as tablets, and other wireless-enabled connected devices comprising smart watches. It also provides residential fixed connectivity solutions, such as internet, video, and voice services; and sells network access to mobile virtual network operators. As of December 31, 2021, it had approximately 115 million wireless retail connections, 7 million wireline broadband connections, and 4 million Fios video connections. The company's Business segment provides network connectivity products, including private networking, private cloud connectivity, virtual and software defined networking, and internet access services; and internet protocol-based voice and video services, unified communications and collaboration tools, and customer contact center solutions. This segment also offers a suite of management and data security services; domestic and global voice and data solutions, such as voice calling, messaging services, conferencing, contact center solutions, and private line and data access networks; customer premises equipment; installation, maintenance, and site services; and Internet of Things products and services. As of December 31, 2021, it had approximately 27 million wireless retail postpaid connections and 477 thousand wireline broadband connections. The company was formerly known as Bell Atlantic Corporation and changed its name to Verizon Communications Inc. in June 2000. Verizon Communications Inc. was incorporated in 1983 and is headquartered in New York, New York.",New York,212 395 1000,NY,United States,[],https://www.verizon.com,1,1095 Avenue of the Americas,Telecom Services,0.32393003,0.14222,0.56973,36576002048,0.04,0.19725999,43941998592,31,hold,77312000000,2938374912,43,39.02,-0.246,0.748,0.04591,25,46.24,201.208,0.23658001,69,2147000064,1.78639E+11,1.35651E+11,0.511,USD,32.352,0.499,2.9,NYQ,Verizon Communications Inc.,Verizon Communications Inc.,America/New_York,EST,TRUE,-18000000,EQUITY,VZ,finmb_415798,us_market,,2.431,,7.504,,,5.17,,4197760000,,,,17.206,35272938,0.0084,,1640908800,0.64699,19292000256,4.562,,,2.2678137,0.00063,1703980800,,1664496000,1.45,1663200000,4197129564,0.373249,3.29756E+11,2,,1278028800,1000000:937889,,,,-0.235,1.2074853,1665705600,3.18,,7.5473886,,0.0084,33969418,,,,38.92,39.1,46.55555,0.06418294,0.5592,,39.3585,,20282650,38.92,38.0094,2.498,39.1,,20282650,,,2.61,1665014400,,,38.97,USD,8.553267,7341491,,,,1.63797E+11,,,23684593,38.97,39.2,2900,7341491,55.51,,4.54,34.55,39.05,FALSE,0.0721,900,39.3585,,39.02,39.065,https://logo.clearbit.com/verizon.com,,,,,,,a708480c-0400-3ea0-b2d3-ca752db5c3b1,,,,,,,,,,,
472,472,80202,Consumer Cyclical,20300,"V.F. Corporation, together with its subsidiaries, engages in the design, procurement, marketing, and distribution of branded lifestyle apparel, footwear, and related products for men, women, and children in the Americas, Europe, and the Asia-Pacific. It operates through three segments: Outdoor, Active, and Work. The company offers outdoor, merino wool and other natural fibers-based, lifestyle, and casual apparel; footwear; equipment; accessories; outdoor-inspired, performance-based, youth culture/action sports-inspired, streetwear, and protective work footwear; handbags, luggage, backpacks, and totes; and work and work-inspired lifestyle apparel and footwear. It provides its products under the North Face, Timberland, Smartwool, Icebreaker, Altra, Vans, Supreme, Kipling, Napapijri, Eastpak, JanSport, Dickies, and Timberland PRO brand names. The company sells its products primarily to specialty stores, department stores, national chains, and mass merchants, as well as sells through direct-to-consumer operations, including retail stores, concession retail stores, and e-commerce sites, and other digital platforms. V.F. Corporation was founded in 1899 and is headquartered in Denver, Colorado.",Denver,720 778 4000,CO,United States,[],https://www.vfc.com,1,1551 Wewatta Street,Apparel Manufacturing,0.13309,0.03598,0.53433,121468000,-0.037,0.111379996,1569250048,26,hold,6457147000,-273100512,34,34.34,,1.064,0.059320003,20,34.05,229.237,0.12682,48,552811008,7073433088,11791243264,1.426,USD,30.365,0.447,2.7,NYQ,V.F. Corporation,V.F. Corporation,America/New_York,EST,TRUE,-18000000,EQUITY,VFC,finmb_191328,us_market,,1.481,,11.125,,,2.99,,392782016,,,,8.026,18226406,0.0469,,1648857600,0.90216005,423852000,-0.426,,,4.2785945,0.00349,1712016000,,1664496000,3.07,1663200000,386300077,0.973992,17457299456,2,,1558569600,1062:1000,,,,,1.1439111,1665705600,15.11,,11.48495,,0.0591,15401353,,,,33.76,33.66,45.32415,0.05716825,0.7743,,34.39,,5587090,33.76,31.2966,1.93,33.66,,5587090,,,2,1662681600,,,33.66,USD,,1766188,,,,13488134144,,,5855893,33.66,34.5,1300,1766188,78.17,,2.72,26.46,34.3,FALSE,0.0709,1000,34.39,,34.34,33.4,https://logo.clearbit.com/vfc.com,,,336 424 7696,,,,4ed08eb7-9730-3e70-8326-3d82c893dbab,,,,,,,,,,,
418,418,46204,Real Estate,2400,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",Indianapolis,317-636-1600,IN,United States,[],https://www.simon.com,1,225 West Washington Street,REIT—Retail,0.71328,0.40603,0.80767995,3652464128,0.02,0.47127,3706455040,98,buy,4143625000,1564513792,119,120.7,-0.196,0.376,0.04508,16,121.69,619.683,0.57993,179,541240000,25388408832,5196355072,1.653,USD,15.815,0.338,2.3,NYQ,"Simon Property Group, Inc.","Simon Property Group, Inc.",America/New_York,EST,TRUE,-18000000,EQUITY,SPG,finmb_34378,us_market,,11.635,,16.312,,,4.57,,328611008,,,,9.124,6194544,0.0189,,1640908800,0.88401,2106551040,3.59,,,13.2288475,0.00482,1703980800,,1656547200,2.73,1663200000,324436395,1.486735,60460707840,2,,1401321600,1063:1000,,,,-0.195,7.633103,1665705600,2.24,,26.411377,,0.0256,6326967,,,,119.61,119.97,112.896,0.05016303,1.014,,120.7,,1736330,119.61,103.6336,6,119.97,,1736330,,,7,1662595200,,,119.71,USD,33.62117,527122,,,,39664312320,,,2037903,119.71,120.86,800,527122,165.83,,5.84,86.02,120.5,FALSE,0.066300005,800,120.7,,120.7,119.66,https://logo.clearbit.com/simon.com,,,,,,,c481f9ec-0de4-363f-a710-ed57abf0c2e6,,,,,,,,,,,
356,356,74103,Energy,2847,"ONEOK, Inc., together with its subsidiaries, engages in gathering, processing, storage, and transportation of natural gas in the United States. It operates through Natural Gas Gathering and Processing, Natural Gas Liquids, and Natural Gas Pipelines segments. The company owns natural gas gathering pipelines and processing plants in the Mid-Continent and Rocky Mountain regions. It also gathers, treats, fractionates, and transports natural gas liquids (NGL), as well as stores, markets, and distributes NGL products. The company owns NGL gathering and distribution pipelines in Oklahoma, Kansas, Texas, New Mexico, Montana, North Dakota, Wyoming, and Colorado; terminal and storage facilities in Kansas, Missouri, Nebraska, Iowa, and Illinois; and NGL distribution and refined petroleum products pipelines in Kansas, Missouri, Nebraska, Iowa, Illinois, and Indiana, as well as owns and operates truck- and rail-loading, and -unloading facilities connected to NGL fractionation, storage, and pipeline assets. In addition, it operates regulated interstate and intrastate natural gas transmission pipelines and natural gas storage facilities. Further, the company owns and operates a parking garage in downtown Tulsa, Oklahoma; and leases excess office space. It operates 17,500 miles of natural gas gathering pipelines; 1,500 miles of FERC-regulated interstate natural gas pipelines; 5,100 miles of state-regulated intrastate transmission pipeline; six NGL storage facilities; and eight NGL product terminals. It serves integrated and independent exploration and production companies; NGL and natural gas gathering and processing companies; crude oil and natural gas production companies; propane distributors; municipalities; ethanol producers; and petrochemical, refining, and NGL marketing companies, as well as natural gas distribution and electric generation companies, producers, processors, and marketing companies. The company was founded in 1906 and is headquartered in Tulsa, Oklahoma.",Tulsa,918 588 7000,OK,United States,[],https://www.oneok.com,1,100 West Fifth Street,Oil & Gas Midstream,0.15262,0.073699996,0.20497,2717872896,0.769,0.12368,3265833984,55,hold,4283654000,917960768,68,65.42,0.201,0.828,0.068969995,17,67,226.955,0.26228002,80,159996992,13877478400,21397995520,0.358,USD,47.871,0.53,2.6,NYQ,"ONEOK, Inc.","ONEOK, Inc.",America/New_York,EST,TRUE,-18000000,EQUITY,OKE,finmb_293889,us_market,,1.861,,12.197,,,3.37,,445936992,,,,13.685,7526546,0.0168,,1640908800,0.68641996,1575840000,2.587,,,4.780416,0.0061,1703980800,,1656547200,2.56,1663200000,443680568,1.641488,39832109056,2,,1391385600,11422:10000,,,,0.211,1.3633612,1665705600,1.9,,19.412462,,0.0216,6960675,,,,65.62,65.75,62.23705,0.05699482,1.0625,,66.11,,2475580,65.62,58.265,3.74,65.75,,2475580,,,3.74,1667174400,,,65.31,USD,25.28798,714166,,,,29173196800,,,2589969,65.31,65.46,800,714166,75.07,,6.81,50.5,65.42,FALSE,0.064,800,66.11,,65.42,65.82,https://logo.clearbit.com/oneok.com,,,,,,,112ea00e-e1f7-375a-b633-bcb48a6b1ec1,,,,,,,,,,,
276,276,77002,Energy,10529,"Kinder Morgan, Inc. operates as an energy infrastructure company in North America. The company operates through four segments: Natural Gas Pipelines, Products Pipelines, Terminals, and CO2. The Natural Gas Pipelines segment owns and operates interstate and intrastate natural gas pipeline, and underground storage systems; natural gas gathering systems and natural gas processing and treating facilities; natural gas liquids fractionation facilities and transportation systems; and liquefied natural gas liquefaction and storage facilities. The Products Pipelines segment owns and operates refined petroleum products, and crude oil and condensate pipelines; and associated product terminals and petroleum pipeline transmix facilities. The Terminals segment owns and/or operates liquids and bulk terminals that stores and handles various commodities, including gasoline, diesel fuel, chemicals, ethanol, metals, and petroleum coke; and owns tankers. The CO2 segment produces, transports, and markets CO2 to recovery and production crude oil from mature oil fields; owns interests in/or operates oil fields and gasoline processing plants; and operates a crude oil pipeline system in West Texas, as well as owns and operates RNG and LNG facilities. It owns and operates approximately 83,000 miles of pipelines and 143 terminals. The company was formerly known as Kinder Morgan Holdco LLC and changed its name to Kinder Morgan, Inc. in February 2011. Kinder Morgan, Inc. was founded in 1936 and is headquartered in Houston, Texas.",Houston,713 369 9000,TX,United States,[],https://www.kindermorgan.com,1,1001 Louisiana Street,Oil & Gas Midstream,0.3165,0.13205,0.37514,4831000064,0.354,0.20492001,6028000256,18,hold,7749000000,1275750016,19,18.63,0.172,0.621,0.03494,17,19.88,100.087,0.08108,24,525000000,32163000320,19046000640,0.234,USD,8.413,0.39,2.9,NYQ,"Kinder Morgan, Inc.","Kinder Morgan, Inc.",America/New_York,EST,TRUE,-18000000,EQUITY,KMI,finmb_34952431,us_market,,3.826,,12.088,,,0.92,,2267429888,,,,14.213,31175415,0.0139,,1640908800,0.6323,2502000128,0.803,,,1.3107717,0.12622,1703980800,,1664496000,1.45,1663200000,1965875215,0.916728,72869470208,2,,1421712000,10:01,,,,0.164,2.2179048,1665705600,-5.87,,20.249998,,0.0159,32908374,,,,18.65,18.7,18.09055,0.056729224,0.9865,,18.78,,14762360,18.65,17.6996,1.058,18.7,,14762360,,,1.11,1666915200,,,18.59,USD,23.200499,5821561,,,,42242215936,,,18911055,18.59,18.64,1800,5821561,20.2,,5.34,15.01,18.63,FALSE,0.0626,1300,18.78,,18.63,18.62,https://logo.clearbit.com/kindermorgan.com,,Suite 1000,,,,,1f9d4e32-f8c8-3406-9619-fc743bc7b327,,,,,,,,,,,
