"state","pop2020","reported","rate","violent","violentRate","nonViolent","nonViolentRate"
"District of Columbia","712816","14113","7985.9320","7127","999.8370","49798","6986.0950"
"New Mexico","2106319","22077","6462.0320","16393","778.2770","119718","5683.7540"
"Louisiana","4645318","35473","6408.2160","29704","639.4400","267978","5768.7760"
"Colorado","5807719","30238","6090.7560","24570","423.0580","329164","5667.6980"
"South Carolina","5218040","33133","5972.8370","27691","530.6780","283974","5442.1580"
"Arkansas","3030522","25590","5898.7530","20363","671.9300","158400","5226.8220"
"Oklahoma","3980783","23666","5869.8250","18255","458.5780","215410","5411.2470"
"Washington","7693612","28061","5758.5700","22596","293.6980","420446","5464.8710"
"Tennessee","6886834","51314","5658.3040","46328","672.7040","343350","4985.6000"
"Oregon","4241507","17698","5609.8930","12380","291.8770","225564","5318.0160"
"Missouri","6151548","38447","5604.7840","33385","542.7090","311396","5062.0750"
"Alaska","731158","10647","5358.8960","6126","837.8490","33056","4521.0470"
"Utah","3249879","13400","5189.5160","8471","260.6560","160182","4928.8600"
"Hawaii","1407006","8399","5076.8800","3576","254.1570","67856","4822.7230"
"Arizona","7421401","40435","4940.1180","35980","484.8140","330646","4455.3040"
"Texas","29360759","135574","4936.5350","131084","446.4600","1318320","4490.0750"
"North Carolina","10600823","48904","4872.2920","44451","419.3170","472052","4452.9750"
"Kansas","2913805","16783","4823.2120","12385","425.0460","128154","4398.1670"
"Alabama","4921532","26596","4727.0650","22322","453.5580","210322","4273.5070"
"California","39368078","178304","4719.9000","174026","442.0490","1684108","4277.8520"
"Montana","1080577","9319","4711.4640","5077","469.8420","45834","4241.6230"
"North Dakota","765309","6766","4577.2360","2518","329.0170","32512","4248.2190"
"Minnesota","5657342","19948","4527.2500","15698","277.4800","240424","4249.7700"
"Mississippi","2966786","12841","4494.4260","8638","291.1570","124702","4203.2690"
"South Dakota","892717","8389","4414.8370","4476","501.3910","34936","3913.4460"
"Georgia","10710017","46865","4414.8020","42850","400.0930","429976","4014.7090"
"Delaware","986809","8185","4354.6420","4262","431.8970","38710","3922.7450"
"Nevada","3138259","18298","4313.5060","14445","460.2870","120924","3853.2190"
"Nebraska","1937552","10291","4152.4050","6473","334.0810","73982","3818.3230"
"Ohio","11693217","39805","4009.4180","36104","308.7600","432726","3700.6580"
"Indiana","6754953","27727","3924.0390","24161","357.6780","240906","3566.3610"
"Florida","21733312","86907","3922.4580","83368","383.5950","769112","3538.8620"
"Kentucky","4477251","15159","3818.1020","11600","259.0880","159346","3559.0140"
"Iowa","3163561","12997","3699.9760","9601","303.4870","107450","3396.4890"
"Pennsylvania","12783254","53081","3677.6790","49793","389.5170","420334","3288.1610"
"Maryland","6055802","27435","3619.4880","24215","399.8640","194974","3219.6230"
"Illinois","12587530","56731","3544.6670","53612","425.9140","392574","3118.7530"
"Wyoming","582328","4585","3455.4410","1364","234.2320","18758","3221.2090"
"Connecticut","3557006","9589","3311.7460","6459","181.5850","111340","3130.1610"
"Wisconsin","5832655","21832","3294.7090","18861","323.3690","173308","2971.3400"
"Michigan","9966555","50363","3199.7720","47641","478.0090","271266","2721.7630"
"New York","19336776","73160","3185.2000","70339","363.7580","545576","2821.4420"
"West Virginia","1784787","9151","3154.6620","6352","355.8970","49952","2798.7650"
"Virginia","8590563","20838","3121.4830","17925","208.6590","250228","2912.8240"
"Rhode Island","1057125","4931","2721.7220","2440","230.8150","26332","2490.9070"
"Vermont","623347","3515","2607.3760","1081","173.4190","15172","2433.9570"
"New Jersey","8882371","19669","2511.7510","17353","195.3650","205750","2316.3860"
"Idaho","1826913","6656","2466.3460","4432","242.5950","40626","2223.7510"
"Maine","1350141","3778","2420.9320","1466","108.5810","31220","2312.3510"
"Massachusetts","6893574","23394","2415.1770","21288","308.8090","145204","2106.3670"
"New Hampshire","1366275","4198","2344.1840","2000","146.3830","30028","2197.8010"
